Name,Common_name,Uniprot_ID,ChEMBL_ID,Class,Probability,Known_Actives,,NA.1
Carnitine palmitoyltransferase 2,CPT2,P23786,CHEMBL3238,Enzyme,0.0428942118511,0 /  2     ,NA,NA
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.101613854776,12 /  0     ,NA,NA
Corticotropin releasing factor receptor 1,CRHR1,P34998,CHEMBL1800,Family B G protein-coupled receptor,0.100578902067,171 /  0     ,NA,NA
Macrophage colony stimulating factor receptor,CSF1R,P07333,CHEMBL1844,Kinase,0.0312265582077,9 /  0     ,NA,NA
Tyrosine-protein kinase CSK,CSK,P41240,CHEMBL2634,Kinase,0.0972399887602,3 /  0     ,NA,NA
Casein kinase I alpha,CSNK1A1,P48729,CHEMBL2793,Kinase,0.0535560755162,5 /  0     ,NA,NA
Casein kinase I delta,CSNK1D,P48730,CHEMBL2828,Kinase,0.0535560755162,16 /  0     ,NA,NA
Casein kinase I gamma 1,CSNK1G1,Q9HCP0,CHEMBL2426,Kinase,0.104671941128,2 /  0     ,NA,NA
Casein kinase I gamma 2,CSNK1G2,P78368,CHEMBL2543,Kinase,0.104671941128,1 /  0     ,NA,NA
Casein kinase II alpha,CSNK2A1,P68400,CHEMBL3629,Kinase,0.0312265582077,13 /  0     ,NA,NA
Casein kinase II alpha (prime),CSNK2A2,P19784,CHEMBL4070,Kinase,0.104671941128,1 /  0     ,NA,NA
C-terminal-binding protein 2,CTBP2,P56545,CHEMBL3797016,Unclassified protein,0.0439186325197,0 /  13     ,NA,NA
Axin1/beta-catenin,CTNNB1,P35222,CHEMBL5866,Unclassified protein,0.0312265582077,3 /  0     ,NA,NA
Chymotrypsin C,CTRC,Q99895,CHEMBL2386,Protease,0.0439186325197,4 /  0     ,NA,NA
Lysosomal protective protein,CTSA,P10619,CHEMBL6115,Protease,0.0428942118511,77 /  0     ,NA,NA
Cathepsin (B and K),CTSB,P07858,CHEMBL4072,Protease,0.0428381527054,128 /  0     ,NA,NA
Cathepsin D,CTSD,P07339,CHEMBL2581,Protease,0.0604245879294,0 /  52     ,NA,NA
Cathepsin E,CTSE,P14091,CHEMBL3092,Protease,0.0604245879294,0 /  14     ,NA,NA
Cathepsin G,CTSG,P08311,CHEMBL4071,Protease,0.0535560755162,9 /  0     ,NA,NA
Cathepsin K,CTSK,P43235,CHEMBL268,Protease,0.0428381527054,234 /  0     ,NA,NA
Cathepsin L,CTSL,P07711,CHEMBL3837,Protease,0.0972399887602,21 /  2     ,NA,NA
Cathepsin S,CTSS,P25774,CHEMBL2954,Protease,0.0978745343258,11 /  0     ,NA,NA
Cathepsin (V and K),CTSV,O60911,CHEMBL3272,Protease,0.0972399887602,9 /  0     ,NA,NA
Interleukin-8,CXCL8,P10145,CHEMBL2157,Secreted protein,0.0428942118511,12 /  0     ,NA,NA
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.0428942118511,1 /  0     ,NA,NA
Interleukin-8 receptor B,CXCR2,P25025,CHEMBL2434,Family A G protein-coupled receptor,0.0428942118511,3 /  0     ,NA,NA
Cytochrome P450 11B1,CYP11B1,P15538,CHEMBL1908,Cytochrome P450,0.0439186325197,13 /  0     ,NA,NA
Cytochrome P450 11B2,CYP11B2,P19099,CHEMBL2722,Cytochrome P450,0.0535560755162,64 /  0     ,NA,NA
Cytochrome P450 17A1,CYP17A1,P05093,CHEMBL3522,Cytochrome P450,0.0535560755162,0 /  43     ,NA,NA
Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.0238327432783,0 /  3     ,NA,NA
Cytochrome P450 1A1,CYP1A1,P04798,CHEMBL2231,Cytochrome P450,0.0535560755162,4 /  0     ,NA,NA
Cytochrome P450 1A2,CYP1A2,P05177,CHEMBL3356,Cytochrome P450,0.0312265582077,0 /  1     ,NA,NA
Cytochrome P450 1B1,CYP1B1,Q16678,CHEMBL4878,Cytochrome P450,0.048952897826,4 /  0     ,NA,NA
Cytochrome P450 24A1,CYP24A1,Q07973,CHEMBL4521,Enzyme,0.100634432184,9 /  0     ,NA,NA
Cytochrome P450 26A1,CYP26A1,O43174,CHEMBL5141,Cytochrome P450,0.0535560755162,11 /  0     ,NA,NA
Cytochrome P450 26B1,CYP26B1,Q9NR63,CHEMBL3713687,Cytochrome P450,0.0535560755162,11 /  0     ,NA,NA
"Sterol 26-hydroxylase, mitochondrial",CYP27A1,Q02318,CHEMBL5992,Enzyme,0.11150186548,0 /  3     ,NA,NA
Cytochrome P450 2A6,CYP2A6,P11509,CHEMBL5282,Cytochrome P450,0.0238327432783,9 /  0     ,NA,NA
Cytochrome P450 2C19,CYP2C19,P33261,CHEMBL3622,Cytochrome P450,0.0312265582077,3 /  0     ,NA,NA
Cytochrome P450 2C9,CYP2C9,P11712,CHEMBL3397,Cytochrome P450,0.0604245879294,5 /  0     ,NA,NA
Cytochrome P450 2D6,CYP2D6,P10635,CHEMBL289,Cytochrome P450,0.0717871625222,0 /  1     ,NA,NA
Cytochrome P450 3A4,CYP3A4,P08684,CHEMBL340,Cytochrome P450,0.0312265582077,1 /  0     ,NA,NA
Cytochrome P450 51   (by homology),CYP51A1,Q16850,CHEMBL3849,Cytochrome P450,0.0626219668353,0 /  2     ,NA,NA
Cysteinyl leukotriene receptor 1,CYSLTR1,Q9Y271,CHEMBL1798,Family A G protein-coupled receptor,0.0535560755162,1 /  0     ,NA,NA
Sn1-specific diacylglycerol lipase alpha,DAGLA,Q9Y4D2,CHEMBL5545,Enzyme,0.104671941128,20 /  0     ,NA,NA
Sn1-specific diacylglycerol lipase beta,DAGLB,Q8NCG7,CHEMBL5521,Enzyme,0.11150186548,2 /  0     ,NA,NA
D-amino-acid oxidase,DAO,P14920,CHEMBL5485,Enzyme,0.0238327432783,5 /  1     ,NA,NA
Death-associated protein kinase 1,DAPK1,P53355,CHEMBL2558,Kinase,0.0978745343258,2 /  2     ,NA,NA
Death-associated protein kinase 3,DAPK3,O43293,CHEMBL2468,Kinase,0.0428942118511,1 /  0     ,NA,NA
Dopamine beta-hydroxylase,DBH,P09172,CHEMBL3102,Enzyme,0.0428942118511,4 /  0     ,NA,NA
D-aspartate oxidase,DDO,Q99489,CHEMBL5887,Oxidoreductase,0.0312265582077,2 /  0     ,NA,NA
Epithelial discoidin domain-containing receptor 1,DDR1,Q08345,CHEMBL5319,Kinase,0.104671941128,9 /  0     ,NA,NA
Diacylglycerol O-acyltransferase 1,DGAT1,O75907,CHEMBL6009,Enzyme,0.0978745343258,200 /  0     ,NA,NA
Dihydrofolate reductase,DHFR,P00374,CHEMBL202,Oxidoreductase,0.0535560755162,116 /  0     ,NA,NA
Dihydroorotate dehydrogenase,DHODH,Q02127,CHEMBL1966,Oxidoreductase,0.0972399887602,277 /  0     ,NA,NA
Disks large homolog 4,DLG4,P78352,CHEMBL5666,Unclassified protein,0.112041901328,0 /  29     ,NA,NA
Dynamin-1,DNM1,Q05193,CHEMBL4958,Enzyme,0.0978745343258,3 /  0     ,NA,NA
DNA (cytosine-5)-methyltransferase 1,DNMT1,P26358,CHEMBL1993,Writer,0.11150186548,0 /  1     ,NA,NA
DNA (cytosine-5)-methyltransferase 3B,DNMT3B,Q9UBC3,CHEMBL6095,Reader,0.0604245879294,2 /  0     ,NA,NA
Aspartyl aminopeptidase,DNPEP,Q9ULA0,CHEMBL2761,Protease,0.0978745343258,0 /  2     ,NA,NA
Dipeptidyl peptidase IV,DPP4,P27487,CHEMBL284,Protease,0.0238327432783,67 /  61     ,NA,NA
Dipeptidyl peptidase II,DPP7,Q9UHL4,CHEMBL3976,Protease,0.0238327432783,38 /  25     ,NA,NA
Dihydropyrimidine dehydrogenase,DPYD,Q12882,CHEMBL3172,Enzyme,0.0238327432783,0 /  1     ,NA,NA
Dopamine D1 receptor,DRD1,P21728,CHEMBL2056,Family A G protein-coupled receptor,0.0312265582077,0 /  3     ,NA,NA
Dopamine D2 receptor   (by homology),DRD2,P14416,CHEMBL217,Family A G protein-coupled receptor,0.0312265582077,0 /  153     ,NA,NA
Dopamine D3 receptor,DRD3,P35462,CHEMBL234,Family A G protein-coupled receptor,0.0312265582077,0 /  12     ,NA,NA
Dopamine D4 receptor,DRD4,P21917,CHEMBL219,Family A G protein-coupled receptor,0.0312265582077,0 /  34     ,NA,NA
Dopamine D5 receptor,DRD5,P21918,CHEMBL1850,Family A G protein-coupled receptor,0.0238327432783,0 /  4     ,NA,NA
Dual serine/threonine and tyrosine protein kinase,DSTYK,Q6XUX3,CHEMBL1908386,Enzyme,0.0822215166115,2 /  0     ,NA,NA
Dual specificity protein phosphatase 3,DUSP3,P51452,CHEMBL2635,Phosphatase,0.0312265582077,0 /  2     ,NA,NA
dUTP pyrophosphatase,DUT,P33316,CHEMBL5203,Enzyme,0.0604245879294,48 /  0     ,NA,NA
Dual-specificity tyrosine-phosphorylation regulated kinase 1A,DYRK1A,Q13627,CHEMBL2292,Kinase,0.0428942118511,18 /  0     ,NA,NA
Dual specificity tyrosine-phosphorylation-regulated kinase 1B,DYRK1B,Q9Y463,CHEMBL5543,Kinase,0.0428942118511,35 /  0     ,NA,NA
Dual-specificity tyrosine-phosphorylation regulated kinase 2,DYRK2,Q92630,CHEMBL4376,Kinase,0.113285953487,38 /  0     ,NA,NA
Endothelin-converting enzyme 1,ECE1,P42892,CHEMBL4791,Protease,0.0312265582077,8 /  0     ,NA,NA
Endothelin receptor ET-A   (by homology),EDNRA,P25101,CHEMBL252,Family A G protein-coupled receptor,0.0604245879294,34 /  0     ,NA,NA
Endothelin receptor ET-B,EDNRB,P24530,CHEMBL1785,Family A G protein-coupled receptor,0.0428942118511,3 /  0     ,NA,NA
Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.0238327432783,3 /  0     ,NA,NA
Egl nine homolog 1,EGLN1,Q9GZT9,CHEMBL5697,Oxidoreductase,0.0238327432783,0 /  2     ,NA,NA
Egl nine homolog 3,EGLN3,Q9H6Z9,CHEMBL5705,Enzyme,0.0238327432783,3 /  0     ,NA,NA
"Interferon-induced, double-stranded RNA-activated protein kinase",EIF2AK2,P19525,CHEMBL5785,Kinase,0.0978745343258,4 /  0     ,NA,NA
Eukaryotic translation initiation factor 2-alpha kinase 3,EIF2AK3,Q9NZJ5,CHEMBL6030,Kinase,0.101613854776,24 /  0     ,NA,NA
Leukocyte elastase,ELANE,P08246,CHEMBL248,Protease,0.0428381527054,91 /  0     ,NA,NA
Aminopeptidase A,ENPEP,Q07075,CHEMBL3439,Protease,0.0439186325197,11 /  0     ,NA,NA
Autotaxin,ENPP2,Q13822,CHEMBL3691,Enzyme,0.0535560755162,29 /  0     ,NA,NA
Histone acetyltransferase p300,EP300,Q09472,CHEMBL3784,Writer,0.113285953487,1 /  0     ,NA,NA
Endothelial PAS domain-containing protein 1,EPAS1,Q99814,CHEMBL1744522,Unclassified protein,0.0743922719035,0 /  1     ,NA,NA
Ephrin type-A receptor 1,EPHA1,P21709,CHEMBL5810,Kinase,0.0972399887602,4 /  0     ,NA,NA
Ephrin type-A receptor 2,EPHA2,P29317,CHEMBL2068,Kinase,0.0972399887602,3 /  0     ,NA,NA
Ephrin type-A receptor 3,EPHA3,P29320,CHEMBL4954,Kinase,0.0972399887602,5 /  0     ,NA,NA
Ephrin type-A receptor 4,EPHA4,P54764,CHEMBL3988,Kinase,0.0972399887602,4 /  0     ,NA,NA
Ephrin type-A receptor 5,EPHA5,P54756,CHEMBL3987,Kinase,0.0972399887602,4 /  0     ,NA,NA
Ephrin type-A receptor 6,EPHA6,Q9UF33,CHEMBL4526,Kinase,0.0972399887602,4 /  0     ,NA,NA
Ephrin type-A receptor 7,EPHA7,Q15375,CHEMBL4602,Kinase,0.0972399887602,2 /  0     ,NA,NA
Ephrin type-A receptor 8,EPHA8,P29322,CHEMBL4134,Kinase,0.0972399887602,3 /  0     ,NA,NA
Ephrin type-B receptor 1,EPHB1,P54762,CHEMBL5072,Kinase,0.0972399887602,3 /  0     ,NA,NA
Ephrin type-B receptor 2,EPHB2,P29323,CHEMBL3290,Kinase,0.0535560755162,4 /  0     ,NA,NA
Ephrin type-B receptor 3,EPHB3,P54753,CHEMBL4901,Kinase,0.0972399887602,2 /  0     ,NA,NA
Ephrin receptor,EPHB4,P54760,CHEMBL5147,Kinase,0.041891066893,28 /  0     ,NA,NA
Epoxide hydrolase 1,EPHX1,P07099,CHEMBL1968,Protease,0.0978745343258,12 /  0     ,NA,NA
Epoxide hydratase,EPHX2,P34913,CHEMBL2409,Protease,0.0238327432783,0 /  20     ,NA,NA
Endoplasmic reticulum aminopeptidase 2,ERAP2,Q6P179,CHEMBL5043,Protease,0.100578902067,8 /  0     ,NA,NA
Receptor protein-tyrosine kinase erbB-2,ERBB2,P04626,CHEMBL1824,Kinase,0.0312265582077,1 /  0     ,NA,NA
Receptor protein-tyrosine kinase erbB-4,ERBB4,Q15303,CHEMBL3009,Kinase,0.104671941128,1 /  0     ,NA,NA
DNA excision repair protein ERCC-5,ERCC5,P28715,CHEMBL4736,Other nuclear protein,0.109339753231,0 /  6     ,NA,NA
Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1,O75460,CHEMBL1163101,Enzyme,0.0238327432783,0 /  36     ,NA,NA
Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,0.0312265582077,3 /  82     ,NA,NA
Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.0238327432783,1 /  13     ,NA,NA
Estrogen-related receptor alpha,ESRRA,P11474,CHEMBL3429,Nuclear receptor,0.0312265582077,0 /  4     ,NA,NA
Estrogen-related receptor beta,ESRRB,O95718,CHEMBL3751,Nuclear receptor,0.0312265582077,0 /  4     ,NA,NA
Estrogen-related receptor gamma,ESRRG,P62508,CHEMBL4245,Nuclear receptor,0.033970689612,0 /  1     ,NA,NA
Ezrin,EZR,P15311,CHEMBL1932896,Unclassified protein,0.0978745343258,3 /  0     ,NA,NA
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.0822215166115,377 /  0     ,NA,NA
Coagulation factor XII,F12,P00748,CHEMBL2821,Protease,0.0535560755162,3 /  0     ,NA,NA
Coagulation factor XIII,F13A1,P00488,CHEMBL4530,Aminoacyltransferase,0.0439186325197,1 /  0     ,NA,NA
Thrombin,F2,P00734,CHEMBL204,Protease,0.0238327432783,0 /  4     ,NA,NA
Proteinase-activated receptor 1,F2R,P25116,CHEMBL3974,Family A G protein-coupled receptor,0.0978745343258,1 /  0     ,NA,NA
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.0743922719035,0 /  1     ,NA,NA
Coagulation factor VII/tissue factor,F3,P13726,CHEMBL4081,Surface antigen,0.048952897826,6 /  0     ,NA,NA
Coagulation factor VII,F7,P08709,CHEMBL3991,Protease,0.100578902067,2 /  0     ,NA,NA
Coagulation factor IX,F9,P00740,CHEMBL2016,Protease,0.113285953487,30 /  0     ,NA,NA
Anandamide amidohydrolase,FAAH,O00519,CHEMBL2243,Enzyme,0.0535560755162,4 /  1     ,NA,NA
"Fatty acid-binding protein, liver   (by homology)",FABP1,P07148,CHEMBL5421,Fatty acid binding protein family,0.0428942118511,7 /  0     ,NA,NA
Fatty acid binding protein intestinal,FABP2,P12104,CHEMBL4879,Fatty acid binding protein family,0.0312265582077,0 /  1     ,NA,NA
Fatty acid binding protein muscle,FABP3,P05413,CHEMBL3344,Fatty acid binding protein family,0.0312265582077,0 /  2     ,NA,NA
Fatty acid binding protein adipocyte,FABP4,P15090,CHEMBL2083,Fatty acid binding protein family,0.0312265582077,0 /  2     ,NA,NA
Fatty acid binding protein epidermal,FABP5,Q01469,CHEMBL3674,Fatty acid binding protein family,0.0312265582077,0 /  2     ,NA,NA
Fatty acid desaturase 1,FADS1,O60427,CHEMBL5840,Enzyme,0.0428942118511,3 /  0     ,NA,NA
Fibroblast activation protein alpha   (by homology),FAP,Q12884,CHEMBL4683,Protease,0.0535560755162,38 /  0     ,NA,NA
Phenylalanyl-tRNA synthetase mitochondrial,FARS2,O95363,CHEMBL2511,Enzyme,0.0312265582077,5 /  0     ,NA,NA
Fatty acid synthase,FASN,P49327,CHEMBL4158,Transferase,0.0978745343258,1 /  0     ,NA,NA
"Fructose-1,6-bisphosphatase",FBP1,P09467,CHEMBL3975,Enzyme,0.0312265582077,19 /  0     ,NA,NA
Immunoglobulin epsilon Fc receptor,FCER2,P06734,CHEMBL2940,Membrane receptor,0.0822215166115,11 /  0     ,NA,NA
Squalene synthetase   (by homology),FDFT1,P37268,CHEMBL3338,Enzyme,0.0238327432783,0 /  1     ,NA,NA
Flap endonuclease 1,FEN1,P39748,CHEMBL5027,Enzyme,0.100578902067,2 /  0     ,NA,NA
Free fatty acid receptor 1,FFAR1,O14842,CHEMBL4422,Family A G protein-coupled receptor,0.0312265582077,0 /  1     ,NA,NA
Free fatty acid receptor 2,FFAR2,O15552,CHEMBL5493,Family A G protein-coupled receptor,0.104671941128,1 /  0     ,NA,NA
G-protein coupled receptor 120,FFAR4,Q5NUL3,CHEMBL5339,Family A G protein-coupled receptor,0.0439186325197,0 /  12     ,NA,NA
Acidic fibroblast growth factor,FGF1,P05230,CHEMBL2120,Secreted protein,0.033970689612,0 /  2     ,NA,NA
Basic fibroblast growth factor,FGF2,P09038,CHEMBL3107,Secreted protein,0.033970689612,0 /  2     ,NA,NA
Fibroblast growth factor receptor 1,FGFR1,P11362,CHEMBL3650,Kinase,0.0312265582077,31 /  0     ,NA,NA
Fibroblast growth factor receptor 3,FGFR3,P22607,CHEMBL2742,Kinase,0.0238327432783,0 /  2     ,NA,NA
Tyrosine-protein kinase FGR   (by homology),FGR,P09769,CHEMBL4454,Kinase,0.0579568757034,0 /  1     ,NA,NA
FK506-binding protein 1A,FKBP1A,P62942,CHEMBL1902,Isomerase,0.041891066893,74 /  0     ,NA,NA
FK506 binding protein 4,FKBP4,Q02790,CHEMBL4050,Enzyme,0.041891066893,8 /  0     ,NA,NA
Peptidyl-prolyl cis-trans isomerase FKBP5,FKBP5,Q13451,CHEMBL2052031,Enzyme,0.041891066893,14 /  0     ,NA,NA
Vascular endothelial growth factor receptor 1,FLT1,P17948,CHEMBL1868,Kinase,0.048952897826,1 /  0     ,NA,NA
Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.0312265582077,27 /  0     ,NA,NA
Vascular endothelial growth factor receptor 3,FLT4,P35916,CHEMBL1955,Kinase,0.0428942118511,0 /  9     ,NA,NA
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.0238327432783,0 /  5     ,NA,NA
Glutamate carboxypeptidase II,FOLH1,Q04609,CHEMBL1892,Protease,0.033970689612,0 /  10     ,NA,NA
Folate receptor alpha,FOLR1,P15328,CHEMBL2121,Membrane receptor,0.156339771212,24 /  11     ,NA,NA
Folate receptor beta,FOLR2,P14207,CHEMBL5064,Membrane receptor,0.156339771212,9 /  6     ,NA,NA
Transcription factor AP1,FOS JUN,P01100 P05412,CHEMBL2111421,Transcription factor,0.0604245879294,0 /  1     ,NA,NA
Folylpoly-gamma-glutamate synthetase,FPGS,Q05932,CHEMBL3171,Enzyme,0.139714053544,8 /  25     ,NA,NA
Formyl peptide receptor 1,FPR1,P21462,CHEMBL3359,Family A G protein-coupled receptor,0.100578902067,15 /  0     ,NA,NA
Lipoxin A4 receptor   (by homology),FPR2,P25090,CHEMBL4227,Family A G protein-coupled receptor,0.0604245879294,0 /  3     ,NA,NA
Tyrosine-protein kinase FRK,FRK,P42685,CHEMBL4223,Kinase,0.104671941128,6 /  0     ,NA,NA
Alpha-ketoglutarate-dependent dioxygenase FTO,FTO,Q9C0B1,CHEMBL2331065,Oxidoreductase,0.048952897826,1 /  0     ,NA,NA
Alpha-L-fucosidase I,FUCA1,P04066,CHEMBL4176,Enzyme,0.0238327432783,1 /  0     ,NA,NA
Furin,FURIN,P09958,CHEMBL2611,Protease,0.0604245879294,0 /  30     ,NA,NA
Fucosyltransferase 4,FUT4,P22083,CHEMBL4996,Enzyme,0.11150186548,0 /  1     ,NA,NA
"Alpha-(1,3)-fucosyltransferase 7",FUT7,Q11130,CHEMBL3596077,Transferase,0.0727163610114,1 /  2     ,NA,NA
Tyrosine-protein kinase FYN,FYN,P06241,CHEMBL1841,Kinase,0.0238327432783,3 /  0     ,NA,NA
Glucose-6-phosphate 1-dehydrogenase,G6PD,P11413,CHEMBL5347,Enzyme,0.0238327432783,0 /  7     ,NA,NA
Lysosomal alpha-glucosidase,GAA,P10253,CHEMBL2608,Hydrolase,0.0535560755162,5 /  0     ,NA,NA
GABA-B receptor   (by homology),GABBR1,Q9UBS5,CHEMBL2064,Family C G protein-coupled receptor,0.0238327432783,0 /  1     ,NA,NA
GABA-B receptor,GABBR2 GABBR1,O75899 Q9UBS5,CHEMBL2111463,Family C G protein-coupled receptor,0.0238327432783,0 /  1     ,NA,NA
GABA-A receptor; alpha-1/beta-2/gamma-2,GABRA1 GABRB2 GABRG2,P14867 P47870 P18507,CHEMBL2095172,Ligand-gated ion channel,0.0238327432783,0 /  1     ,NA,NA
GABA A receptor alpha-2/beta-2/gamma-2,GABRA2 GABRB2 GABRG2,P47869 P47870 P18507,CHEMBL2111413,Ligand-gated ion channel,0.0238327432783,0 /  2     ,NA,NA
GABA-A receptor; alpha-2/beta-3/gamma-2,GABRA2 GABRB3 GABRG2,P47869 P28472 P18507,CHEMBL2094130,Ligand-gated ion channel,0.0439186325197,6 /  0     ,NA,NA
GABA A receptor alpha-3/beta-2/gamma-2,GABRA3 GABRB2 GABRG2,P34903 P47870 P18507,CHEMBL2111339,Ligand-gated ion channel,0.0238327432783,0 /  1     ,NA,NA
GABA receptor alpha-5 subunit,GABRA5,P31644,CHEMBL5112,Ligand-gated ion channel,0.0822215166115,124 /  0     ,NA,NA
GABA-A receptor; alpha-3/beta-3/gamma-2,GABRB3 GABRA3 GABRG2,P28472 P34903 P18507,CHEMBL2094120,Ligand-gated ion channel,0.0439186325197,6 /  0     ,NA,NA
GABA-A receptor; alpha-1/beta-3/gamma-2,GABRB3 GABRG2 GABRA1,P28472 P18507 P14867,CHEMBL2094121,Ligand-gated ion channel,0.033970689612,0 /  1     ,NA,NA
GABA-A receptor; alpha-5/beta-3/gamma-2,GABRB3 GABRG2 GABRA5,P28472 P18507 P31644,CHEMBL2094122,Ligand-gated ion channel,0.0439186325197,32 /  0     ,NA,NA
GABA-A receptor; alpha-6/beta-3/gamma-2,GABRG2 GABRB3 GABRA6,P18507 P28472 Q16445,CHEMBL2095190,Ligand-gated ion channel,0.101613854776,1 /  0     ,NA,NA
GABA receptor rho-1 subunit,GABRR1,P24046,CHEMBL3561,Ligand-gated ion channel,0.0238327432783,0 /  1     ,NA,NA
Serine/threonine-protein kinase GAK,GAK,O14976,CHEMBL4355,Kinase,0.104671941128,1 /  0     ,NA,NA
Glyceraldehyde-3-phosphate dehydrogenase liver,GAPDH,P04406,CHEMBL2284,Oxidoreductase,0.0443083186041,0 /  1     ,NA,NA
GAR transformylase,GART,P22102,CHEMBL3972,Ligase,0.106542925976,74 /  67     ,NA,NA
Beta-glucocerebrosidase   (by homology),GBA,P04062,CHEMBL2179,Enzyme,0.033970689612,3 /  0     ,NA,NA
Beta-glucosidase,GBA2,Q9HCG7,CHEMBL3761,Enzyme,0.100634432184,0 /  31     ,NA,NA
Glucagon,GCG,P01275,CHEMBL5736,Unclassified protein,0.0978745343258,55 /  0     ,NA,NA
Glucagon receptor,GCGR,P47871,CHEMBL1985,Family B G protein-coupled receptor,0.0604245879294,23 /  0     ,NA,NA
Hexokinase type IV,GCK,P35557,CHEMBL3820,Enzyme,0.0972399887602,43 /  0     ,NA,NA
Gamma-glutamylcysteine synthetase,GCLC,P48506,CHEMBL4055,Enzyme,0.100578902067,3 /  0     ,NA,NA
Guanine deaminase,GDA,Q9Y2T3,CHEMBL3129,Hydrolase,0.0238327432783,0 /  1     ,NA,NA
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1,GFPT1,Q06210,CHEMBL1909481,Enzyme,0.053517944289,2 /  0     ,NA,NA
Appetite-regulating hormone,GHRL,Q9UBU3,CHEMBL1921664,Unclassified protein,0.100578902067,32 /  0     ,NA,NA
Ghrelin receptor,GHSR,Q92847,CHEMBL4616,Family A G protein-coupled receptor,0.0972399887602,30 /  0     ,NA,NA
Gastric inhibitory polypeptide receptor,GIPR,P48546,CHEMBL4383,Family B G protein-coupled receptor,0.0978745343258,17 /  0     ,NA,NA
Zinc finger protein GLI1,GLI1,P08151,CHEMBL5461,Transcription factor,0.0642387798076,0 /  2     ,NA,NA
Zinc finger protein GLI2,GLI2,P10070,CHEMBL5119,Transcription factor,0.109339753231,3 /  0     ,NA,NA
Glyoxalase I,GLO1,Q04760,CHEMBL2424,Enzyme,0.0604245879294,0 /  2     ,NA,NA
Glycine receptor subunit alpha-1,GLRA1,P23415,CHEMBL5845,Ligand-gated ion channel,0.0535560755162,1 /  0     ,NA,NA
Glycine receptor subunit alpha-2   (by homology),GLRA2,P23416,CHEMBL5871,Ligand-gated ion channel,0.0428942118511,8 /  0     ,NA,NA
Glutamine synthetase,GLUL,P15104,CHEMBL4612,Ligase,0.0978745343258,0 /  1     ,NA,NA
Acyl-CoA:dihydroxyacetonephosphateacyltransferase,GNPAT,O15228,CHEMBL4494,Enzyme,0.100634432184,0 /  3     ,NA,NA
Gonadotropin-releasing hormone receptor,GNRHR,P30968,CHEMBL1855,Family A G protein-coupled receptor,0.041891066893,46 /  0     ,NA,NA
G-protein coupled bile acid receptor 1,GPBAR1,Q8TDU6,CHEMBL5409,Family A G protein-coupled receptor,0.0238327432783,0 /  13     ,NA,NA
G-protein coupled estrogen receptor 1,GPER1,Q99527,CHEMBL5872,Family A G protein-coupled receptor,0.0312265582077,0 /  1     ,NA,NA
Glucose-dependent insulinotropic receptor,GPR119,Q8TDV5,CHEMBL5652,Family A G protein-coupled receptor,0.114337558605,2 /  1     ,NA,NA
Probable G-protein coupled receptor 174,GPR174,Q9BXC1,CHEMBL3562167,Family A G protein-coupled receptor,0.112041901328,0 /  24     ,NA,NA
N-arachidonyl glycine receptor,GPR18,Q14330,CHEMBL2384898,Family A G protein-coupled receptor,0.0312265582077,0 /  1     ,NA,NA
Probable G-protein coupled receptor 34,GPR34,Q9UPC5,CHEMBL3562165,Family A G protein-coupled receptor,0.112041901328,0 /  18     ,NA,NA
G-protein coupled receptor 35,GPR35,Q9HC97,CHEMBL1293267,Family A G protein-coupled receptor,0.0238327432783,0 /  2     ,NA,NA
G-protein coupled receptor 55,GPR55,Q9Y2T6,CHEMBL1075322,Family A G protein-coupled receptor,0.0312265582077,0 /  1     ,NA,NA
G-protein coupled receptor 84,GPR84,Q9NQS5,CHEMBL3714079,Family A G protein-coupled receptor,0.0604245879294,19 /  0     ,NA,NA
Growth factor receptor-bound protein 2,GRB2,P62993,CHEMBL3663,Other cytosolic protein,0.0312265582077,0 /  1     ,NA,NA
"Glutamate receptor ionotropic, AMPA 1",GRIA1,P42261,CHEMBL2009,Ligand-gated ion channel,0.0238327432783,11 /  0     ,NA,NA
"Glutamate receptor ionotropic, AMPA 2",GRIA2,P42262,CHEMBL4016,Ligand-gated ion channel,0.0238327432783,4 /  1     ,NA,NA
"Glutamate receptor ionotropic, AMPA 4",GRIA4,P48058,CHEMBL3190,Ligand-gated ion channel,0.0238327432783,11 /  0     ,NA,NA
Glutamate receptor ionotropic kainate 1,GRIK1,P39086,CHEMBL1918,Ligand-gated ion channel,0.0238327432783,27 /  21     ,NA,NA
